Rendering img with focal point Complex { re: -0.15791999999999157, im: -1.038959999999998 } [x_range: (-1, 1), y_range: (-1.01, 0.99)]
[Complex { re: -1.0, im: -1.01 }] iterations: 5 | acc: 1055.7387957380422 | ?: false
[Complex { re: -0.98, im: -1.01 }] iterations: 5 | acc: 221.2615272965856 | ?: false
[Complex { re: -0.96, im: -1.01 }] iterations: 5 | acc: 432.0912444715288 | ?: false
[Complex { re: -0.94, im: -1.01 }] iterations: 5 | acc: 825.0635138658236 | ?: false
[Complex { re: -0.92, im: -1.01 }] iterations: 5 | acc: 1015.3302970686816 | ?: false
[Complex { re: -0.9, im: -1.01 }] iterations: 5 | acc: 1040.01362517302 | ?: false
[Complex { re: -0.88, im: -1.01 }] iterations: 5 | acc: 943.704748910645 | ?: false
[Complex { re: -0.86, im: -1.01 }] iterations: 5 | acc: 771.638777216531 | ?: false
[Complex { re: -0.84, im: -1.01 }] iterations: 5 | acc: 564.6354221258646 | ?: false
[Complex { re: -0.8200000000000001, im: -1.01 }] iterations: 5 | acc: 355.8690134966017 | ?: false
[Complex { re: -0.8, im: -1.01 }] iterations: 5 | acc: 169.32894883305377 | ?: false
[Complex { re: -0.78, im: -1.01 }] iterations: 6 | acc: 621768.7183993678 | ?: false
[Complex { re: -0.76, im: -1.01 }] iterations: 5 | acc: 102.2932815662647 | ?: false
[Complex { re: -0.74, im: -1.01 }] iterations: 5 | acc: 162.81331250812346 | ?: false
[Complex { re: -0.72, im: -1.01 }] iterations: 5 | acc: 186.1381561349533 | ?: false
[Complex { re: -0.7, im: -1.01 }] iterations: 5 | acc: 180.46930713520482 | ?: false
[Complex { re: -0.6799999999999999, im: -1.01 }] iterations: 5 | acc: 155.08724314188754 | ?: false
[Complex { re: -0.6599999999999999, im: -1.01 }] iterations: 5 | acc: 119.36385592390202 | ?: false
[Complex { re: -0.64, im: -1.01 }] iterations: 6 | acc: 9252.60151094392 | ?: false
[Complex { re: -0.62, im: -1.01 }] iterations: 6 | acc: 13540.879408667019 | ?: false
[Complex { re: -0.6, im: -1.01 }] iterations: 6 | acc: 18501.021850448367 | ?: false
[Complex { re: -0.5800000000000001, im: -1.01 }] iterations: 6 | acc: 13430.137868022493 | ?: false
[Complex { re: -0.56, im: -1.01 }] iterations: 6 | acc: 5898.595010565049 | ?: false
[Complex { re: -0.54, im: -1.01 }] iterations: 6 | acc: 312.144667081935 | ?: false
[Complex { re: -0.52, im: -1.01 }] iterations: 6 | acc: 2221.972607823986 | ?: false
[Complex { re: -0.5, im: -1.01 }] iterations: 6 | acc: 2371.0982143192027 | ?: false
[Complex { re: -0.48, im: -1.01 }] iterations: 6 | acc: 1494.1648253316996 | ?: false
[Complex { re: -0.45999999999999996, im: -1.01 }] iterations: 6 | acc: 563.0684458144025 | ?: false
[Complex { re: -0.43999999999999995, im: -1.01 }] iterations: 7 | acc: 1831905.8673868047 | ?: false
[Complex { re: -0.42000000000000004, im: -1.01 }] iterations: 6 | acc: 220.96036570347462 | ?: false
[Complex { re: -0.4, im: -1.01 }] iterations: 6 | acc: 201.00612492552946 | ?: false
[Complex { re: -0.38, im: -1.01 }] iterations: 6 | acc: 115.58862572168711 | ?: false
[Complex { re: -0.36, im: -1.01 }] iterations: 7 | acc: 1514.5381248943256 | ?: false
[Complex { re: -0.33999999999999997, im: -1.01 }] iterations: 7 | acc: 5905.228186841144 | ?: false
[Complex { re: -0.31999999999999995, im: -1.01 }] iterations: 7 | acc: 1519.6462695740304 | ?: false
[Complex { re: -0.30000000000000004, im: -1.01 }] iterations: 8 | acc: 1374287.2045434562 | ?: false
[Complex { re: -0.28, im: -1.01 }] iterations: 7 | acc: 80.38891982801184 | ?: false
